date,code,name,shares
2024-06-14,159001,货币ETF,16232453.0
2024-06-14,159003,招商快线ETF,1981021.0
2024-06-14,159005,汇添富快钱ETF,1131226.0
2024-06-14,159150,深证50ETF易方达,314997623.0
2024-06-14,159300,300ETF,571397022.0
2024-06-14,159306,汽车零件ETF,116244616.0
2024-06-14,159307,红利低波100ETF,240903552.0
2024-06-14,159310,芯片产业ETF,519981080.0
2024-06-14,159315,黄金股ETF基金,370589621.0
2024-06-14,159321,黄金股票ETF,135900397.0
2024-06-14,159322,黄金产业ETF,76411691.0
2024-06-14,159350,深证50ETF富国,871009642.0
2024-06-14,159501,纳斯达克指数ETF,2241986575.0
2024-06-14,159502,标普生物科技ETF,836323019.0
2024-06-14,159503,财富管理ETF,38277361.0
2024-06-14,159505,国证2000指数ETF,52104786.0
2024-06-14,159506,恒生医疗ETF,512536979.0
2024-06-14,159507,电信ETF,59943634.0
2024-06-14,159508,生物医药ETF基金,149231598.0
2024-06-14,159509,纳指科技ETF,6019564118.0
2024-06-14,159510,沪深300价值ETF,148128342.0
2024-06-14,159511,通信ETF基金,176444573.0
2024-06-14,159512,汽车ETF,69264855.0
2024-06-14,159513,纳斯达克100指数ETF,4360549100.0
2024-06-14,159515,国企红利ETF,54386631.0
2024-06-14,159516,半导体设备ETF,1078589993.0
2024-06-14,159517,800增强ETF,23742624.0
2024-06-14,159518,标普油气ETF,119325369.0
2024-06-14,159519,港股国企ETF,107157854.0
2024-06-14,159520,消费龙头ETF,44177649.0
2024-06-14,159521,2000指数ETF,66274435.0
2024-06-14,159522,国证2000ETF景顺,40896935.0
2024-06-14,159523,沪深300成长ETF,53517348.0
2024-06-14,159525,红利低波ETF,263243741.0
2024-06-14,159526,机器人指数ETF,32462964.0
2024-06-14,159527,数据ETF,18100450.0
2024-06-14,159528,国企改革ETF,75320773.0
2024-06-14,159529,标普消费ETF,60536791.0
2024-06-14,159530,机器人100ETF,47613169.0
2024-06-14,159531,中证2000ETF,484608406.0
2024-06-14,159532,中证2000指数ETF,65564791.0
2024-06-14,159533,中证2000ETF基金,70458785.0
2024-06-14,159535,中证2000ETF指数,25981088.0
2024-06-14,159536,中证2000ETF添富,97261589.0
2024-06-14,159537,信创ETF,36642602.0
2024-06-14,159538,信创ETF富国,55304483.0
2024-06-14,159539,信创50ETF,24565182.0
2024-06-14,159540,信创ETF指数,31505191.0
2024-06-14,159541,创业板综ETF万家,195093326.0
2024-06-14,159542,工程机械ETF,57592850.0
2024-06-14,159543,国证2000ETF基金,14196551.0
2024-06-14,159545,恒生红利低波ETF,200803689.0
2024-06-14,159546,集成电路ETF,54309274.0
2024-06-14,159547,红利低波50ETF,20786075.0
2024-06-14,159549,红利低波动ETF,3309523884.0
2024-06-14,159551,机器人产业ETF,99920923.0
2024-06-14,159553,2000ETF增强,14326751.0
2024-06-14,159555,2000增强ETF,67462705.0
2024-06-14,159556,中证2000ETF增强,141556089.0
2024-06-14,159557,恒生医疗指数ETF,203894955.0
2024-06-14,159559,机器人ETF基金,58576622.0
2024-06-14,159560,芯片50ETF,167916460.0
2024-06-14,159561,德国ETF,96499489.0
2024-06-14,159562,黄金股ETF,304130504.0
2024-06-14,159563,创业板综ETF华夏,19360773.0
2024-06-14,159565,汽车零部件ETF,28627231.0
2024-06-14,159566,储能电池ETF,49739776.0
2024-06-14,159567,港股创新药ETF,170364863.0
2024-06-14,159568,港股互联网ETF,57857901.0
2024-06-14,159570,港股通创新药ETF,307597142.0
2024-06-14,159571,创业板200ETF富国,45981814.0
2024-06-14,159572,创业板200ETF易方达,65749107.0
2024-06-14,159573,创业板200ETF华夏,379456297.0
2024-06-14,159575,创业板200ETF银华,59410425.0
2024-06-14,159576,深证100ETF广发,24009612.0
2024-06-14,159577,美国50ETF,211665791.0
2024-06-14,159578,深证主板50ETF南方,163998831.0
2024-06-14,159581,红利ETF基金,80225708.0
2024-06-14,159582,半导体产业ETF,31621621.0
2024-06-14,159586,计算机ETF南方,60025923.0
2024-06-14,159588,石油天然气ETF,205284857.0
2024-06-14,159589,红利100ETF,40590005.0
2024-06-14,159591,中证A50ETF,2762405682.0
2024-06-14,159592,A50ETF基金,2674310460.0
2024-06-14,159593,中证A50指数ETF,4727196040.0
2024-06-14,159595,中证A50ETF基金,3359113255.0
2024-06-14,159596,A50ETF华宝,1703841520.0
2024-06-14,159597,创业板成长ETF易方达,331052379.0
2024-06-14,159599,芯片ETF基金,355822066.0
2024-06-14,159601,A50ETF,5623588073.0
2024-06-14,159602,中国A50ETF,1610542944.0
2024-06-14,159603,双创龙头ETF,2496071922.0
2024-06-14,159605,中概互联ETF,7968486155.0
2024-06-14,159606,中证500成长ETF,512222838.0
2024-06-14,159607,中概互联网ETF,2081829139.0
2024-06-14,159608,稀有金属ETF,429610066.0
2024-06-14,159609,光伏龙头ETF,516903414.0
2024-06-14,159610,500ETF增强,937568207.0
2024-06-14,159611,电力ETF,2246362900.0
2024-06-14,159612,标普500ETF,293898651.0
2024-06-14,159613,信息安全ETF,113590217.0
2024-06-14,159615,恒生生物科技ETF,504054898.0
2024-06-14,159616,农牧ETF,103561112.0
2024-06-14,159617,500价值ETF,51418382.0
2024-06-14,159618,光伏ETF指数基金,286131407.0
2024-06-14,159619,基建ETF,214981007.0
2024-06-14,159620,500成长ETF,36140934.0
2024-06-14,159621,MSCIESGETF,50434717.0
2024-06-14,159622,创新药ETF沪港深,182603238.0
2024-06-14,159623,成渝经济圈ETF,4083271695.0
2024-06-14,159625,绿色电力ETF,217313777.0
2024-06-14,159627,A100ETF,31116776.0
2024-06-14,159628,国证2000ETF,938283250.0
2024-06-14,159629,1000ETF,2723252663.0
2024-06-14,159630,A100ETF基金,25113744.0
2024-06-14,159631,中证A100ETF,191332605.0
2024-06-14,159632,纳斯达克ETF,4756720640.0
2024-06-14,159633,中证1000指数ETF,1026162658.0
2024-06-14,159635,基建50ETF,113846980.0
2024-06-14,159636,港股通科技30ETF,3047250603.0
2024-06-14,159637,新能源车龙头ETF,1818768094.0
2024-06-14,159638,高端装备ETF,1153341932.0
2024-06-14,159639,碳中和ETF南方,1265290171.0
2024-06-14,159640,碳中和龙头ETF,372845198.0
2024-06-14,159641,双碳ETF,464719131.0
2024-06-14,159642,碳中和100ETF,153439923.0
2024-06-14,159643,疫苗ETF,108390617.0
2024-06-14,159645,疫苗ETF富国,32540740.0
2024-06-14,159647,中药ETF,662961752.0
2024-06-14,159649,国开债ETF,57531877.0
2024-06-14,159650,国开ETF,50310196.0
2024-06-14,159651,国开债券ETF,14596448.0
2024-06-14,159652,有色50ETF,481320287.0
2024-06-14,159653,ESG300ETF,61972068.0
2024-06-14,159655,标普ETF,214143045.0
2024-06-14,159656,300成长ETF,184238451.0
2024-06-14,159657,生物疫苗ETF,220514819.0
2024-06-14,159658,数字经济ETF,278394877.0
2024-06-14,159659,纳斯达克100ETF,331744064.0
2024-06-14,159660,纳指100ETF,342151363.0
2024-06-14,159661,中证A100指数ETF,16708213.0
2024-06-14,159662,交运ETF,74113946.0
2024-06-14,159663,机床ETF,112517585.0
2024-06-14,159665,半导体龙头ETF,408576860.0
2024-06-14,159666,交通运输ETF,88832905.0
2024-06-14,159667,工业母机ETF,537016906.0
2024-06-14,159669,绿电ETF,54754781.0
2024-06-14,159670,消费ETF基金,35706921.0
2024-06-14,159671,稀有金属ETF基金,923051737.0
2024-06-14,159672,主要消费ETF,97887409.0
2024-06-14,159673,鹏华沪深300ETF,3073528385.0
2024-06-14,159675,创业板增强ETF,188346691.0
2024-06-14,159676,创业板增强ETF富国,532564183.0
2024-06-14,159677,1000增强ETF,86904091.0
2024-06-14,159678,中证500增强ETF,117143694.0
2024-06-14,159679,中证1000增强ETF,315689156.0
2024-06-14,159680,1000ETF增强,231438087.0
2024-06-14,159681,创50ETF,987772337.0
2024-06-14,159682,创业50ETF,3696307670.0
2024-06-14,159683,运输ETF,31615396.0
2024-06-14,159685,1000增强ETF天弘,33440067.0
2024-06-14,159686,中证100ETF易方达,25815386.0
2024-06-14,159687,亚太精选ETF,75528658.0
2024-06-14,159688,恒生互联网ETF,539778480.0
2024-06-14,159689,消费ETF南方,46147787.0
2024-06-14,159690,矿业ETF,12163978.0
2024-06-14,159691,港股红利ETF,1246301386.0
2024-06-14,159692,证券ETF东财,133455969.0
2024-06-14,159695,通信ETF,107812086.0
2024-06-14,159696,纳指ETF易方达,723824034.0
2024-06-14,159697,油气ETF,109022006.0
2024-06-14,159698,粮食ETF,255444378.0
2024-06-14,159699,恒生消费ETF,330664255.0
2024-06-14,159701,物联网ETF招商,33705601.0
2024-06-14,159703,新材料ETF,105181591.0
2024-06-14,159706,深证100ETF华安,70386800.0
2024-06-14,159707,地产ETF,561548214.0
2024-06-14,159708,红利ETF,295528306.0
2024-06-14,159709,物联网ETF工银,112484060.0
2024-06-14,159711,港股通ETF,40465157.0
2024-06-14,159712,港股通50ETF,62778813.0
2024-06-14,159713,稀土ETF,351755051.0
2024-06-14,159715,稀土ETF易方达,329030274.0
2024-06-14,159716,深创100ETF,175666732.0
2024-06-14,159717,ESGETF,65373183.0
2024-06-14,159718,港股医药ETF,324832634.0
2024-06-14,159719,国企共赢ETF,160195986.0
2024-06-14,159720,智能电车ETF泰康,109812357.0
2024-06-14,159721,深创龙头ETF,87431696.0
2024-06-14,159723,科技龙头ETF,63025575.0
2024-06-14,159725,线上消费ETF,83424924.0
2024-06-14,159726,恒生红利ETF,484411380.0
2024-06-14,159728,在线消费ETF,78910129.0
2024-06-14,159729,互联网ETF,154960633.0
2024-06-14,159730,龙头家电ETF,49571340.0
2024-06-14,159731,石化ETF,44375802.0
2024-06-14,159732,消费电子ETF,1078447904.0
2024-06-14,159735,港股消费ETF,184561371.0
2024-06-14,159736,饮食ETF,6839894457.0
2024-06-14,159738,云计算ETF沪港深,62992667.0
2024-06-14,159739,大数据ETF,189380615.0
2024-06-14,159740,恒生科技ETF,5969120448.0
2024-06-14,159741,恒生科技ETF基金,1105796712.0
2024-06-14,159742,恒生科技指数ETF,2004928292.0
2024-06-14,159743,湖北ETF,167941100.0
2024-06-14,159745,建材ETF,1373688265.0
2024-06-14,159747,香港科技ETF,314712278.0
2024-06-14,159748,创新药ETF富国,538692128.0
2024-06-14,159750,香港科技50ETF,175618251.0
2024-06-14,159751,港股科技ETF,141629628.0
2024-06-14,159752,新能源龙头ETF,690958917.0
2024-06-14,159755,电池ETF,5358646746.0
2024-06-14,159757,电池30ETF,671931891.0
2024-06-14,159758,红利质量ETF,592290777.0
2024-06-14,159760,泰康公卫健康ETF,167360223.0
2024-06-14,159761,新材料50ETF,355734117.0
2024-06-14,159763,新材料ETF基金,141707747.0
2024-06-14,159766,旅游ETF,4437140963.0
2024-06-14,159767,电池龙头ETF,266873672.0
2024-06-14,159768,房地产ETF,569950311.0
2024-06-14,159769,消费电子龙头ETF,46445320.0
2024-06-14,159770,机器人ETF,617087762.0
2024-06-14,159773,创业板科技ETF,83503120.0
2024-06-14,159775,新能源车电池ETF,146648961.0
2024-06-14,159776,港股通医药ETF,187968765.0
2024-06-14,159777,创科技ETF,16280565.0
2024-06-14,159778,工业互联ETF,60505382.0
2024-06-14,159779,消费电子50ETF,115869337.0
2024-06-14,159780,双创ETF,7070048583.0
2024-06-14,159781,科创创业ETF,15238860533.0
2024-06-14,159782,双创50ETF基金,1389190267.0
2024-06-14,159783,科创创业50ETF,9479259442.0
2024-06-14,159786,VRETF,199701174.0
2024-06-14,159787,建材ETF易方达,22021633.0
2024-06-14,159788,港股通100ETF,60424965.0
2024-06-14,159790,碳中和ETF,4039528485.0
2024-06-14,159791,300ESGETF,33083347.0
2024-06-14,159792,港股通互联网ETF,17773855237.0
2024-06-14,159793,线上消费ETF平安,44758908.0
2024-06-14,159795,智能车ETF基金,72169473.0
2024-06-14,159796,电池50ETF,1828467550.0
2024-06-14,159797,医疗器械ETF基金,71989247.0
2024-06-14,159798,消费50ETF,58245390.0
2024-06-14,159801,芯片ETF龙头,5387120172.0
2024-06-14,159804,创中盘88ETF,121899676.0
2024-06-14,159805,传媒ETF,245452480.0
2024-06-14,159806,新能源车ETF,2580089446.0
2024-06-14,159807,科技ETF,1327051428.0
2024-06-14,159808,创100ETF融通,105484790.0
2024-06-14,159810,创业板ETF浦银,59475458.0
2024-06-14,159811,5G50ETF,186743393.0
2024-06-14,159812,黄金基金ETF,23713149.0
2024-06-14,159813,半导体ETF,6251862410.0
2024-06-14,159814,创业大盘ETF,1366246520.0
2024-06-14,159816,0-4地债ETF,13657484.0
2024-06-14,159819,人工智能ETF,8139229669.0
2024-06-14,159820,中证500ETF天弘,2473908470.0
2024-06-14,159821,BOCI创业板ETF,13320000.0
2024-06-14,159822,新经济ETF,280734315.0
2024-06-14,159823,H股ETF基金,46763219.0
2024-06-14,159824,新能车ETF,315135070.0
2024-06-14,159825,农业ETF,2341077407.0
2024-06-14,159827,农业50ETF,134716463.0
2024-06-14,159828,医疗ETF,5129439464.0
2024-06-14,159830,上海金ETF,27409209.0
2024-06-14,159831,上海金ETF基金,12656243.0
2024-06-14,159834,金ETF,22461376.0
2024-06-14,159835,创新药50ETF,151504143.0
2024-06-14,159836,创300ETF,119747113.0
2024-06-14,159837,生物科技ETF,2866152837.0
2024-06-14,159838,医药50ETF,357763462.0
2024-06-14,159839,生物药ETF,1419735165.0
2024-06-14,159840,锂电池ETF,2133574851.0
2024-06-14,159841,证券ETF,5807838465.0
2024-06-14,159842,券商ETF,1067250631.0
2024-06-14,159843,食品饮料ETF,266955141.0
2024-06-14,159845,中证1000ETF,6334425606.0
2024-06-14,159847,医疗50ETF,1639825354.0
2024-06-14,159848,证券ETF基金,122311239.0
2024-06-14,159849,生物科技指数ETF,168372396.0
2024-06-14,159850,恒生国企ETF,1566706498.0
2024-06-14,159851,金融科技ETF,376952074.0
2024-06-14,159852,软件ETF,1670623921.0
2024-06-14,159855,影视ETF,111425236.0
2024-06-14,159856,互联网龙头ETF,625372474.0
2024-06-14,159857,光伏ETF,3495515725.0
2024-06-14,159858,创新药ETF基金,348098318.0
2024-06-14,159859,生物医药ETF,7465040054.0
2024-06-14,159861,碳中和50ETF,265117535.0
2024-06-14,159862,食品ETF,54000623.0
2024-06-14,159863,光伏ETF基金,401729352.0
2024-06-14,159864,光伏50ETF,933526827.0
2024-06-14,159865,养殖ETF,7936455659.0
2024-06-14,159866,日经ETF,538479377.0
2024-06-14,159867,畜牧ETF,1266143594.0
2024-06-14,159869,游戏ETF,8046082127.0
2024-06-14,159870,化工ETF,2955607019.0
2024-06-14,159871,有色金属ETF,89866253.0
2024-06-14,159872,智能网联汽车ETF,49799732.0
2024-06-14,159873,医疗设备ETF,357920000.0
2024-06-14,159875,新能源ETF,2173662899.0
2024-06-14,159876,有色龙头ETF,67188509.0
2024-06-14,159877,医疗产业ETF,126792292.0
2024-06-14,159880,有色ETF基金,63551518.0
2024-06-14,159881,有色60ETF,172249583.0
2024-06-14,159883,医疗器械ETF,3285037843.0
2024-06-14,159885,碳中和ETF基金,560467316.0
2024-06-14,159886,机械ETF,81042555.0
2024-06-14,159887,银行ETF,587115950.0
2024-06-14,159888,智能车ETF,129446068.0
2024-06-14,159889,智能汽车ETF,90400796.0
2024-06-14,159890,云计算ETF,119590688.0
2024-06-14,159891,医疗ETF基金,283024837.0
2024-06-14,159892,恒生医药ETF,6446266022.0
2024-06-14,159895,物联网50ETF,40241864.0
2024-06-14,159896,物联网龙头ETF,79055960.0
2024-06-14,159898,医疗器械指数ETF,270098825.0
2024-06-14,159899,软件龙头ETF,272977729.0
2024-06-14,159901,深证100ETF,2528334930.0
2024-06-14,159902,中小100ETF,143460849.0
2024-06-14,159903,深成ETF,331154507.0
2024-06-14,159905,深红利ETF,1470943951.0
2024-06-14,159906,深成长龙头ETF,161639725.0
2024-06-14,159907,2000ETF,233197694.0
2024-06-14,159908,创业板ETF博时,1189229029.0
2024-06-14,159909,TMT50ETF,584061992.0
2024-06-14,159910,基本面120ETF,162906143.0
2024-06-14,159912,深300ETF,75948991.0
2024-06-14,159913,深价值ETF,28029693.0
2024-06-14,159915,创业板ETF,30988454936.0
2024-06-14,159916,深F60ETF,86566039.0
2024-06-14,159918,中创400ETF,34561264.0
2024-06-14,159919,沪深300ETF,27224316676.0
2024-06-14,159920,恒生ETF,15207559219.0
2024-06-14,159922,中证500ETF,2317069931.0
2024-06-14,159923,中证100ETF,13285812.0
2024-06-14,159925,沪深300ETF南方,1095620856.0
2024-06-14,159928,消费ETF,9830629040.0
2024-06-14,159929,医药ETF,1396204203.0
2024-06-14,159930,能源ETF,297898150.0
2024-06-14,159931,金融ETF,36328511.0
2024-06-14,159933,国投金融地产ETF,62378943.0
2024-06-14,159934,黄金ETF,1762062646.0
2024-06-14,159935,中证500ETF景顺,32572956.0
2024-06-14,159936,可选消费ETF,120156094.0
2024-06-14,159937,黄金ETF基金,2285221977.0
2024-06-14,159938,医药卫生ETF,7564567236.0
2024-06-14,159939,信息技术ETF,3737656106.0
2024-06-14,159940,金融地产ETF,1683059983.0
2024-06-14,159941,纳指ETF,19811010164.0
2024-06-14,159943,深证成指ETF,185229922.0
2024-06-14,159944,材料ETF,25608342.0
2024-06-14,159945,能源ETF基金,32072327.0
2024-06-14,159948,创业板ETF南方,1573697720.0
2024-06-14,159949,创业板50ETF,21700785113.0
2024-06-14,159952,创业板ETF广发,6136484929.0
2024-06-14,159954,H股ETF,394605083.0
2024-06-14,159956,创业板ETF建信,67978674.0
2024-06-14,159957,创业板100ETF华夏,2787784560.0
2024-06-14,159958,创业板ETF工银,188111448.0
2024-06-14,159959,央企ETF,2157891780.0
2024-06-14,159960,恒生中国企业ETF,605573960.0
2024-06-14,159961,深100ETF方正富邦,346245196.0
2024-06-14,159964,创业板ETF平安,407481881.0
2024-06-14,159965,央视50ETF,61426953.0
2024-06-14,159966,创业板价值ETF,1001699521.0
2024-06-14,159967,创业板成长ETF,9921305811.0
2024-06-14,159968,中证500ETF博时,120095098.0
2024-06-14,159969,深100ETF银华,18903014.0
2024-06-14,159970,深100ETF工银,2944784.0
2024-06-14,159971,创业板ETF富国,1566010144.0
2024-06-14,159972,5年地债ETF,29615910.0
2024-06-14,159973,民企ETF,199976423.0
2024-06-14,159974,央企创新ETF,222432422.0
2024-06-14,159975,深100ETF招商,136937760.0
2024-06-14,159976,湾创ETF,110885872.0
2024-06-14,159977,创业板ETF天弘,4157936410.0
2024-06-14,159980,有色ETF,345824777.0
2024-06-14,159981,能源化工ETF,181536957.0
2024-06-14,159982,中证500ETF鹏华,348211253.0
2024-06-14,159985,豆粕ETF,665524066.0
2024-06-14,159987,科技创新ETF,45457627.0
2024-06-14,159990,小盘价值ETF,25419629.0
2024-06-14,159991,创大盘ETF,245463172.0
2024-06-14,159992,创新药ETF,10191581217.0
2024-06-14,159993,证券ETF龙头,1510197982.0
2024-06-14,159994,5GETF,2064001679.0
2024-06-14,159995,芯片ETF,26480763006.0
2024-06-14,159996,家电ETF,1568554846.0
2024-06-14,159997,电子ETF,1589306634.0
2024-06-14,159998,计算机ETF,2750255354.0
2024-06-14,510010,治理ETF,207524400.0
2024-06-14,510020,超大ETF,38148000.0
2024-06-14,510030,价值ETF,160729800.0
2024-06-14,510050,50ETF,46569366800.0
2024-06-14,510060,央企ETF,56959200.0
2024-06-14,510090,ESG建信,31081100.0
2024-06-14,510100,SZ50ETF,2932219900.0
2024-06-14,510130,中盘ETF,50685100.0
2024-06-14,510150,消费ETF,1741178599.9999998
2024-06-14,510160,产业升级,322057400.0
2024-06-14,510170,商品ETF,248914800.0
2024-06-14,510180,180ETF,5814557700.0
2024-06-14,510190,上证50基,42150800.0
2024-06-14,510200,上证券商,76885500.0
2024-06-14,510210,综指ETF,9002192600.0
2024-06-14,510230,金融ETF,3274808000.0
2024-06-14,510270,国企ETF,14832100.0
2024-06-14,510290,380ETF,88448900.0
2024-06-14,510300,300ETF,56328787699.99999
2024-06-14,510310,HS300ETF,77398307400.0
2024-06-14,510330,华夏300,26462949800.0
2024-06-14,510350,工银300,1037814700.0
2024-06-14,510360,广发300,2654381200.0
2024-06-14,510370,兴业300,96258100.0
2024-06-14,510380,国寿300,1467802400.0
2024-06-14,510390,平安300,141950000.0
2024-06-14,510410,资源ETF,473258400.0
2024-06-14,510500,500ETF,13654168600.000002
2024-06-14,510510,广发500,1887038300.0
2024-06-14,510530,工银500,46979399.99999999
2024-06-14,510550,方正500,13743300.0
2024-06-14,510560,国寿500,130318700.0
2024-06-14,510570,兴业500,28060600.0
2024-06-14,510580,ZZ500ETF,4111965200.0
2024-06-14,510590,平安500,145586100.0
2024-06-14,510600,沪50ETF,15415100.0
2024-06-14,510630,消费30,247361500.0
2024-06-14,510650,金融行业,17952500.0
2024-06-14,510660,医药行业,44879700.0
2024-06-14,510680,万家50,73624700.0
2024-06-14,510710,上50ETF,180818900.0
2024-06-14,510720,红利国泰,250766000.0
2024-06-14,510760,上证ETF,1973503700.0
2024-06-14,510770,G60创新,42610700.0
2024-06-14,510800,上证50,579576000.0
2024-06-14,510810,上海国企,8789093700.0
2024-06-14,510850,工银上50,63498900.0
2024-06-14,510880,红利ETF,5668675699.999999
2024-06-14,510900,H股ETF,12871021900.0
2024-06-14,510950,上证广发,84450000.0
2024-06-14,510980,上证综合,146798000.0
2024-06-14,510990,ESG180,52948600.0
2024-06-14,511010,国债ETF,13646300.000000002
2024-06-14,511020,活跃国债,10697500.0
2024-06-14,511030,公司债,1112807100.0
2024-06-14,511060,5年地债,6696300.0
2024-06-14,511090,30年国债,17928100.0
2024-06-14,511100,基准国债,1960500.0
2024-06-14,511130,国债30年,16729700.0
2024-06-14,511180,上证转债,76559700.0
2024-06-14,511220,城投ETF,898881400.0
2024-06-14,511260,十年国债,10256500.0
2024-06-14,511270,10年地债,9127500.0
2024-06-14,511360,短融ETF,300340600.0
2024-06-14,511380,转债ETF,884386700.0
2024-06-14,511520,政金债,146836500.0
2024-06-14,511580,政金债基,1736800.0
2024-06-14,512000,券商ETF,25875317700.0
2024-06-14,512010,医药ETF,50648694900.0
2024-06-14,512040,国信价值,2132715900.0
2024-06-14,512070,证券保险,8950479700.0
2024-06-14,512090,MSCI易基,309592300.0
2024-06-14,512100,1000ETF,11469217600.0
2024-06-14,512120,医药50,837241900.0
2024-06-14,512150,A50ETF,48073400.0
2024-06-14,512160,MSCI基金,281777800.0
2024-06-14,512170,医疗ETF,70206820500.0
2024-06-14,512180,建信MSCI,86048000.0
2024-06-14,512190,之江凤凰,38418400.0
2024-06-14,512200,地产ETF,9487376000.0
2024-06-14,512220,TMTETF,251967600.0
2024-06-14,512260,500低波,50897700.00000001
2024-06-14,512280,景顺MSCI,38005700.0
2024-06-14,512290,生物医药,4158820700.0
2024-06-14,512330,信息ETF,569688000.0
2024-06-14,512360,MSCI国际,54337700.00000001
2024-06-14,512380,MSCI中国,117805600.0
2024-06-14,512390,MSCI低波,180682000.0
2024-06-14,512400,有色ETF,4459039000.0
2024-06-14,512480,半导体,29913003600.0
2024-06-14,512500,中证500,4592808800.0
2024-06-14,512510,ETF500,382429800.00000006
2024-06-14,512520,MSCIETF,78056400.0
2024-06-14,512530,300红利,68502000.0
2024-06-14,512550,A50基金,211906000.0
2024-06-14,512560,中证军工,1088127000.0
2024-06-14,512570,中证证券,481806100.0
2024-06-14,512580,环保ETF,1478071700.0000002
2024-06-14,512600,必选消费,502656100.0
2024-06-14,512640,金融地产,33240900.0
2024-06-14,512650,长三角,412941600.00000006
2024-06-14,512660,军工ETF,8928080000.0
2024-06-14,512670,国防ETF,3468652600.0
2024-06-14,512680,军工基金,3592130100.0
2024-06-14,512690,酒ETF,15078650200.0
2024-06-14,512700,银行基金,871081000.0
2024-06-14,512710,军工龙头,8168658400.0
2024-06-14,512720,计算机,1474453400.0
2024-06-14,512730,银行FUND,63583900.0
2024-06-14,512750,基本面50,102354900.0
2024-06-14,512760,芯片ETF,15764722800.0
2024-06-14,512770,战略新兴,184767800.0
2024-06-14,512800,银行ETF,4648940000.0
2024-06-14,512810,国防军工,483791700.0
2024-06-14,512820,银行股基,231401900.0
2024-06-14,512870,杭州湾区,32410600.0
2024-06-14,512880,证券ETF,37114291500.0
2024-06-14,512890,红利低波,8364110800.0
2024-06-14,512900,证券基金,7347906000.0
2024-06-14,512910,100ETF,696628800.0
2024-06-14,512930,AIETF,816130300.0
2024-06-14,512950,央企改革,4404551000.0
2024-06-14,512960,央调ETF,4271257300.0
2024-06-14,512970,湾区ETF,62987600.0
2024-06-14,512980,传媒ETF,5738924399.999999
2024-06-14,512990,MSCIA股,239015400.0
2024-06-14,513000,225ETF,593411400.0
2024-06-14,513010,港股科技,10449307000.0
2024-06-14,513020,科技HK,448145400.0
2024-06-14,513030,德国ETF,679779000.0
2024-06-14,513040,HK互联网,133841300.0
2024-06-14,513050,中概互联,34202432700.0
2024-06-14,513060,恒生医疗,30532893300.0
2024-06-14,513070,HK消费50,84760800.0
2024-06-14,513080,法国ETF,232916000.0
2024-06-14,513090,香港证券,3356488000.0
2024-06-14,513100,纳指ETF,9197110600.0
2024-06-14,513110,纳指100,481435000.0
2024-06-14,513120,HK创新药,8165635400.0
2024-06-14,513130,恒生科技,29983347000.0
2024-06-14,513140,港股金融,50868000.0
2024-06-14,513150,港科技50,193559800.0
2024-06-14,513160,科技30,101189300.0
2024-06-14,513170,恒生央企,262573000.0
2024-06-14,513180,恒指科技,41967759500.0
2024-06-14,513190,H股金融,171936000.0
2024-06-14,513200,港股医药,2315282100.0
2024-06-14,513210,恒生E,53942000.0
2024-06-14,513220,互联网30,96109400.0
2024-06-14,513230,H股消费,79422700.0
2024-06-14,513260,恒科技,908243000.0
2024-06-14,513280,恒生生物,295114500.0
2024-06-14,513290,纳指生物,642072100.0
2024-06-14,513300,纳斯达克,2462921000.0
2024-06-14,513310,中韩芯片,342427000.0
2024-06-14,513320,HK新经济,70010600.0
2024-06-14,513330,恒生互联,77191480000.0
2024-06-14,513350,油气ETF,61746000.0
2024-06-14,513360,教育ETF,1187713900.0
2024-06-14,513380,科技恒生,2657392500.0
2024-06-14,513390,纳指基金,978379100.0
2024-06-14,513400,道琼斯,741062000.0
2024-06-14,513500,标普500,7313638600.0
2024-06-14,513520,日经ETF,644887200.0
2024-06-14,513530,港股红利,328438700.0
2024-06-14,513550,港股通50,3436992000.0
2024-06-14,513560,香港科技,141386000.0
2024-06-14,513580,HS科技,2786118000.0
2024-06-14,513590,香港消费,111018900.0
2024-06-14,513600,恒指ETF,567829500.0
2024-06-14,513630,香港红利,1733359000.0
2024-06-14,513650,标普ETF,700734000.0
2024-06-14,513660,恒生通,1816000100.0
2024-06-14,513690,恒生股息,1931979900.0
2024-06-14,513700,香港医药,1754846000.0
2024-06-14,513730,东南亚,343355000.0
2024-06-14,513750,港股非银,395338000.0
2024-06-14,513770,港股互联,1940068900.0
2024-06-14,513800,东证ETF,827044400.0
2024-06-14,513810,港股国企,31992000.0
2024-06-14,513820,港股分红,202669000.0
2024-06-14,513850,美国50,663892600.0
2024-06-14,513860,HKC科技,1719470600.0
2024-06-14,513870,纳指指数,155671000.0
2024-06-14,513880,日经225,1623470000.0
2024-06-14,513890,HK科技,243128000.0
2024-06-14,513900,港股100,202978000.0
2024-06-14,513910,红利央企,191276000.0
2024-06-14,513920,央企40,170731000.0
2024-06-14,513950,恒生红利,356119000.0
2024-06-14,513960,港股消费,52932299.99999999
2024-06-14,513970,恒生消费,271041000.0
2024-06-14,513980,科技港股,7001204000.0
2024-06-14,513990,港股通综,70000000.0
2024-06-14,515000,科技ETF,2528289700.0
2024-06-14,515010,华夏证券,794271600.0
2024-06-14,515020,华夏银基,380845300.0
2024-06-14,515030,新汽车,5306384000.0
2024-06-14,515050,5GETF,7431068500.0
